Country,Region,Value,Trend,Rank 2024
Afghanistan,South Asia,31,12.8,144
Angola,Sub-Saharan Africa,40.1,8.2,106
Albania,Europe & Central Asia,52.2,6.1,47
United Arab Emirates,Middle East & North Africa,51.6,9.1,48
Argentina,Latin America & Caribbean,47,1.1,70
Armenia,Europe & Central Asia,44.9,2.0,80
Antigua and Barbuda,Latin America & Caribbean,55.6,1.2,37
Australia,East Asia & Pacific,63.1,4.2,22
Austria,Europe & Central Asia,68.9,0.1,8
Azerbaijan,Europe & Central Asia,40.5,−0.3,103
Burundi,Sub-Saharan Africa,33.5,−1.3,138
Belgium,Europe & Central Asia,66.8,4.9,14
Benin,Sub-Saharan Africa,37.8,−0.3,119
Burkina Faso,Sub-Saharan Africa,42.2,0.1,95
Bangladesh,South Asia,28.1,2.3,148
Bulgaria,Europe & Central Asia,56.2,−1.2,35
Bahrain,Middle East & North Africa,35.3,−1.4,131
Bahamas,Latin America & Caribbean,55.9,1.6,36
Bosnia and Herzegovina,Europe & Central Asia,46,3.3,75
Belarus,Europe & Central Asia,58.2,8.7,31
Belize,Latin America & Caribbean,47.4,0.9,67
Bolivia,Latin America & Caribbean,45.3,3.4,78
Brazil,Latin America & Caribbean,53,6.7,44
Barbados,Latin America & Caribbean,53.1,2.6,43
Brunei,East Asia & Pacific,48.3,−3.1,62
Bhutan,South Asia,43.3,6.8,89
Botswana,Sub-Saharan Africa,49.2,−1.8,59
Central African Republic,Sub-Saharan Africa,39,−5.1,111
Canada,North America,61.1,3.5,27
Switzerland,Europe & Central Asia,67.8,2.3,9
Chile,Latin America & Caribbean,49.6,3.0,57
China,East Asia & Pacific,35.4,5.6,130
Ivory Coast,Sub-Saharan Africa,42.9,7.8,90
Cameroon,Sub-Saharan Africa,38.6,2.2,114
Democratic Republic of the Congo,Sub-Saharan Africa,39.5,6.0,109
Republic of the Congo,Sub-Saharan Africa,41.6,0.9,99
Colombia,Latin America & Caribbean,49.7,4.4,56
Comoros,Sub-Saharan Africa,38.2,−5.9,115
Cape Verde,Sub-Saharan Africa,38,−1.8,117
Costa Rica,Latin America & Caribbean,55.5,0.2,38
Cuba,Latin America & Caribbean,52.5,2.5,46
Cyprus,Europe & Central Asia,53.9,−0.2,41
