Country/Territory,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Country/Territory,Estimate,Year,Estimate,Year,Estimate,Year
Monaco,—,—,"240,862",2022,"240,535",2022
Liechtenstein,—,—,"187,267",2022,"197,268",2022
Luxembourg,"135,321",2024,"128,259",2023,"125,897",2022
Bermuda,—,—,"123,091",2022,"117,568",2022
Switzerland,"106,098",2024,"99,995",2023,"93,636",2022
Ireland,"103,500",2024,"103,685",2023,"105,993",2022
Cayman Islands,—,—,"96,074",2022,"91,420",2022
Isle of Man,—,—,"94,124",2021,—,—
Norway,"90,434",2024,"87,962",2023,"106,623",2022
Singapore,"89,370",2024,"84,734",2023,"78,115",2022
United States,"86,601",2024,"81,695",2023,"76,101",2022
Iceland,"85,787",2024,"78,811",2023,"75,260",2022
Macau,"77,186",2024,"66,835",2023,"34,585",2022
Qatar,"71,568",2024,"87,480",2022,"87,974",2022
Denmark,"69,273",2024,"67,967",2023,"68,029",2022
Netherlands,"67,984",2024,"62,537",2023,"57,392",2022
Faroe Islands,—,—,"66,979",2022,—,—
Australia,"65,966",2024,"64,712",2023,"67,867",2022
Channel Islands,—,—,"64,501",2022,—,—
San Marino,"59,841",2024,"54,982",2021,"52,903",2022
Austria,"58,669",2024,"56,506",2023,"52,609",2022
Sweden,"57,213",2024,"56,305",2023,"56,040",2022
Belgium,"56,129",2024,"53,475",2023,"49,987",2022
Germany,"55,521",2024,"52,746",2023,"48,902",2022
Finland,"54,774",2024,"53,756",2023,"50,988",2022
Canada,"53,834",2024,"53,372",2023,"55,597",2022
Hong Kong,"53,165",2024,"50,697",2023,"48,050",2022
Israel,"53,111",2024,"52,262",2023,"58,086",2022
United Kingdom,"52,423",2024,"48,867",2023,"45,758",2022
Greenland,—,—,"57,116",2021,"51,821",2022
United Arab Emirates,"49,550",2024,"52,977",2023,"53,708",2022
France,"48,012",2024,"44,461",2023,"41,426",2022
New Zealand,"47,072",2024,"48,528",2023,"47,412",2022
British Virgin Islands,—,—,—,—,"46,997",2022
Andorra,"45,279",2024,"46,545",2023,"42,293",2022
Malta,"44,140",2024,"37,882",2023,"33,942",2022
European Union[n 1],"43,350",2024,"40,824",2023,"31,875",[8]2021
U.S. Virgin Islands,—,—,"41,976",2021,—,—
Italy,"40,287",2024,"38,373",2023,"34,672",2022
Guam,—,—,"40,227",2022,—,—
Aruba,"39,697",2024,"33,301",2022,"33,301",2022
Sint Maarten (Dutch part),—,—,"39,433",2023,"35,607",2022
Puerto Rico,"37,926",2024,"36,779",2023,"34,877",2022
Cyprus,"37,767",[n 2]2024,"34,701",[n 2]2023,"32,999",[n 2]2022
Bahamas,"36,322",2024,"34,750",2023,"31,458",2022
South Korea,"36,132",2024,"33,121",2023,"32,305",2022
Spain,"35,789",2024,"32,677",2023,"29,771",2022
New Caledonia,—,—,"35,746",2022,"33,190",2022
Brunei,"34,872",2024,"33,431",2023,"37,152",2022
Slovenia,"34,544",2024,"32,163",2023,"28,295",2022
Taiwan,"33,234",[n 3]2024,—,—,—,—
Saudi Arabia,"32,881",2024,"28,895",2023,"30,436",2022
Japan,"32,859",2024,"33,834",2023,"34,144",2022
Kuwait,"32,290",2024,"37,533",2023,"41,079",2022
Estonia,"31,531",2024,"29,824",2023,"28,693",2022
Czech Republic,"31,366",2024,"30,427",2023,"27,685",2022
Turks and Caicos Islands,—,—,"30,438",2023,"24,918",2022
Bahrain,"29,573",2024,"29,084",2023,"30,147",2022
Portugal,"29,341",2024,"27,275",2023,"24,813",2022
Guyana,"28,921",2024,"20,626",2023,"18,199",2022
Lithuania,"28,713",2024,"27,103",2023,"25,773",2022
Anguilla,—,—,—,—,"28,561",2022
Slovakia,"26,290",2024,"24,470",2023,"20,432",2022
Barbados,"24,759",2024,"22,673",2023,"20,239",2022
Greece,"24,342",2024,"22,990",2023,"20,923",2022
Latvia,"24,223",2024,"23,184",2023,"22,088",2022
Saint Kitts and Nevis,"24,203",2024,"22,553",2023,"20,547",2022
Hungary,"23,881",2024,"22,147",2023,"17,792",2022
Poland,"23,563",2024,"22,113",2023,"17,265",2022
Croatia,"23,380",2024,"21,460",2023,"17,753",2022
Uruguay,"23,053",2024,"22,564",2023,"20,793",2022
Antigua and Barbuda,"22,118",2024,"21,560",2023,"18,880",2022
Seychelles,"21,290",2024,"17,879",2023,"18,623",2022
Oman,"20,631",2024,"23,295",2023,"25,057",2022
Curaçao,—,—,"20,493",2022,"20,492",2022
Romania,"20,089",2024,"18,419",2023,"15,295",2022
Trinidad and Tobago,"19,703",2024,"18,333",2023,"19,629",2022
American Samoa,—,—,"19,673",2022,—,—
Panama,"19,369",2024,"18,662",2023,"17,358",2022
French Polynesia,—,—,"18,985",2022,"18,985",2022
Palau,"17,978",2024,"14,565",2023,"12,498",2022
Costa Rica,"17,860",2024,"16,595",2023,"13,199",2022
Northern Mariana Islands,—,—,"17,303",2020,—,—
Maldives,"17,287",2024,"12,667",2023,"11,781",2022
Bulgaria,"17,069",2024,"15,798",2023,"13,302",2022
Cook Islands,—,—,—,—,"17,033",2022
Montserrat,—,—,—,—,"16,461",2022
Chile,"16,365",2024,"17,093",2023,"15,338",2022
Saint Martin (French part),—,—,"16,087",2022,—,—
Turkey,"15,666",2024,"12,986",2023,"10,629",2022
Russia,"14,953",2024,"13,817",2023,"15,482",2022
Kazakhstan,"14,570",2024,"13,137",2023,"11,625",2022
Saint Lucia,"14,034",2024,"13,980",2023,"12,038",2022
Mexico,"13,972",2024,"13,926",2023,"11,477",2022
World,"13,900",2024,"13,138",2023,"12,647",2022
Malaysia,"13,142",2024,"11,649",2023,"11,972",2022
Cuba,—,—,"9,500",2020,"13,128",2022
China,"12,969",[n 4]2024,"12,614",[n 5]2023,"12,598",[n 4]2022
Argentina,"12,814",2024,"13,730",2023,"13,868",2022
Montenegro,"12,802",2024,"12,017",2023,"9,935",2022
Turkmenistan,"12,713",2024,"9,191",2023,"10,420",2022
Mauritius,"12,601",2024,"11,417",2023,"9,926",2022
Serbia,"12,514",2024,"11,361",2023,"8,802",2022
Nauru,"12,285",2024,"12,060",2023,"11,679",2022
Grenada,"12,050",2024,"10,464",2023,"9,509",2022
Dominican Republic,"11,692",2024,"10,716",2023,"10,111",2022
Saint Vincent and the Grenadines,"10,558",2024,"10,279",2023,"9,107",2022
Brazil,"10,296",2024,"10,044",2023,"8,918",2022
Albania,"9,598",2024,"8,368",2023,"6,655",2022
Dominica,"9,392",2024,"8,954",2023,"10,111",2022
Gabon,"9,257",2024,"8,420",2023,"8,427",2022
Georgia,"8,883",[n 6]2024,"8,120",[n 6]2023,"6,571",[n 6]2022
North Macedonia,"8,659",2024,"8,146",2023,"6,549",2022
Armenia,"8,518",2024,"8,716",2023,"7,018",2022
Peru,"8,316",2024,"7,790",2023,"7,126",2022
