country,estimate
Luxembourg,135321
Bermuda,135321
Switzerland,106098
Ireland,103500
Cayman Islands,103500
Isle of Man,103500
Norway,90434
Singapore,89370
United States,86601
Iceland,85787
Macau,77186
Qatar,71568
Denmark,69273
Netherlands,67984
Faroe Islands,67984
Australia,65966
Channel Islands,65966
San Marino,59841
Austria,58669
Sweden,57213
Belgium,56129
Germany,55521
Finland,54774
Canada,53834
Hong Kong,53165
Israel,53111
United Kingdom,52423
Greenland,52423
United Arab Emirates,49550
France,48012
New Zealand,47072
British Virgin Islands,47072
Andorra,45279
Malta,44140
European Union[n 1],43350
U.S. Virgin Islands,43350
Italy,40287
Guam,40287
Aruba,39697
Sint Maarten (Dutch part),39697
Puerto Rico,37926
Cyprus,37767
Bahamas,36322
South Korea,36132
Spain,35789
New Caledonia,35789
Brunei,34872
Slovenia,34544
Taiwan,33234
Saudi Arabia,32881
Japan,32859
Kuwait,32290
Estonia,31531
Czech Republic,31366
Turks and Caicos Islands,31366
Bahrain,29573
Portugal,29341
Guyana,28921
Lithuania,28713
Anguilla,28713
Slovakia,26290
Barbados,24759
Greece,24342
Latvia,24223
Saint Kitts and Nevis,24203
Hungary,23881
Poland,23563
Croatia,23380
Uruguay,23053
Antigua and Barbuda,22118
Seychelles,21290
Oman,20631
Curaçao,20631
Romania,20089
Trinidad and Tobago,19703
American Samoa,19703
Panama,19369
French Polynesia,19369
Palau,17978
Costa Rica,17860
Northern Mariana Islands,17860
Maldives,17287
Bulgaria,17069
Cook Islands,17069
Montserrat,17069
Chile,16365
Saint Martin (French part),16365
Turkey,15666
Russia,14953
Kazakhstan,14570
Saint Lucia,14034
Mexico,13972
World,13900
Malaysia,13142
Cuba,13142
China,12969
Argentina,12814
Montenegro,12802
Turkmenistan,12713
Mauritius,12601
Serbia,12514
Nauru,12285
Grenada,12050
Dominican Republic,11692
Saint Vincent and the Grenadines,10558
Brazil,10296
Albania,9598
Dominica,9392
Gabon,9257
Georgia,8883
North Macedonia,8659
Armenia,8518
Peru,8316
Bosnia and Herzegovina,8221
Belize,8133
Equatorial Guinea,8102
Belarus,8008
Colombia,7917
Suriname,7600
Thailand,7527
Jamaica,7487
Azerbaijan,7381
Moldova,7368
Botswana,7341
Tuvalu,7190
Marshall Islands,6850
Ecuador,6758
Mongolia,6666
Libya,6482
South Africa,6377
Kosovo,6334
Guatemala,6295
Fiji,6257
Iraq,5947
Paraguay,5869
El Salvador,5607
Algeria,5579
Ukraine,5505
Iran,5300
Micronesia,5120
Samoa,5048
Indonesia,4981
Tonga,4858
Cape Verde,4790
Jordan,4682
Vietnam,4649
Lebanon,4487
Namibia,4410
Eswatini,4375
Tunisia,4267
Morocco,4204
Djibouti,4155
Philippines,4154
Bhutan,4068
Venezuela,4019
Bolivia,3920
Sri Lanka,3330
Egypt,3542
Honduras,3446
São Tomé and Príncipe,3425
Vanuatu,3387
Palestine,3181
Uzbekistan,3051
Angola,2961
Nicaragua,2878
Cambodia,2744
Ivory Coast,2720
India,2698
Bangladesh,2625
Papua New Guinea,2544
Kiribati,2455
Congo,2384
Mauritania,2376
Ghana,2232
Kyrgyzstan,2229
Kenya,2218
Solomon Islands,2209
Haiti,2120
Zimbabwe,2114
Laos,1945
Cameroon,1821
Senegal,1805
Guinea,1652
Comoros,1630
Pakistan,1588
Benin,1510
East Timor,1454
Nepal,1381
Ethiopia,1350
Tajikistan,1276
Zambia,1226
Tanzania,1224
Zanzibar,1224
Uganda,1187
Myanmar,1179
Guinea-Bissau,1106
Lesotho,1062
Togo,1051
Chad,1013
Gambia,989
Rwanda,986
Burkina Faso,908
Mali,898
Nigeria,877
Sierra Leone,856
Liberia,855
Syria,855
Somalia,771
DR Congo,702
Niger,698
Eritrea,698
Mozambique,645
Sudan,606
North Korea,606
Madagascar,563
Central African Republic,529
Yemen,465
Malawi,464
Afghanistan,411
South Sudan,341
Burundi,321
